COMMON_NAME,SPECIES_ITIS,STOCK_NAME,STOCK_ABBREV,SEX_TYPE,YEAR,LANDINGS_MT
Goosefish,164499,Northern,NORTH,NONE,1964,44.95
Goosefish,164499,Northern,NORTH,NONE,1965,36.603
Goosefish,164499,Northern,NORTH,NONE,1966,299.018
Goosefish,164499,Northern,NORTH,NONE,1967,539.457
Goosefish,164499,Northern,NORTH,NONE,1968,451.296
Goosefish,164499,Northern,NORTH,NONE,1969,258.459
Goosefish,164499,Northern,NORTH,NONE,1970,198.619
Goosefish,164499,Northern,NORTH,NONE,1971,212.735
Goosefish,164499,Northern,NORTH,NONE,1972,437.042
Goosefish,164499,Northern,NORTH,NONE,1973,709.714
Goosefish,164499,Northern,NORTH,NONE,1974,1196.535
Goosefish,164499,Northern,NORTH,NONE,1975,1852.778
Goosefish,164499,Northern,NORTH,NONE,1976,2242.811
Goosefish,164499,Northern,NORTH,NONE,1977,3144.877
Goosefish,164499,Northern,NORTH,NONE,1978,3896.228
Goosefish,164499,Northern,NORTH,NONE,1979,4020.43
Goosefish,164499,Northern,NORTH,NONE,1980,3705.942
Goosefish,164499,Northern,NORTH,NONE,1981,3236.724
Goosefish,164499,Northern,NORTH,NONE,1982,3892.806
Goosefish,164499,Northern,NORTH,NONE,1983,3891.373
Goosefish,164499,Northern,NORTH,NONE,1984,4261.304
Goosefish,164499,Northern,NORTH,NONE,1985,4649.118
Goosefish,164499,Northern,NORTH,NONE,1986,4384.737
Goosefish,164499,Northern,NORTH,NONE,1987,4982.28
Goosefish,164499,Northern,NORTH,NONE,1988,5082.532
Goosefish,164499,Northern,NORTH,NONE,1989,6395.607
Goosefish,164499,Northern,NORTH,NONE,1990,5841.601
Goosefish,164499,Northern,NORTH,NONE,1991,5727.013
Goosefish,164499,Northern,NORTH,NONE,1992,6924.98
Goosefish,164499,Northern,NORTH,NONE,1993,10645.062
Goosefish,164499,Northern,NORTH,NONE,1994,10855.159
Goosefish,164499,Northern,NORTH,NONE,1995,12019.574
Goosefish,164499,Northern,NORTH,NONE,1996,10768.801
Goosefish,164499,Northern,NORTH,NONE,1997,9659.385
Goosefish,164499,Northern,NORTH,NONE,1998,7481.882
Goosefish,164499,Northern,NORTH,NONE,1999,8898.35
Goosefish,164499,Northern,NORTH,NONE,2000,10676.573
Goosefish,164499,Northern,NORTH,NONE,2001,13224.465
Goosefish,164499,Northern,NORTH,NONE,2002,13634.19
Goosefish,164499,Northern,NORTH,NONE,2003,14398.104
Goosefish,164499,Northern,NORTH,NONE,2004,12794.867
Goosefish,164499,Northern,NORTH,NONE,2005,10104.889
Goosefish,164499,Northern,NORTH,NONE,2006,6999.705
Goosefish,164499,Northern,NORTH,NONE,2007,5087.896
Goosefish,164499,Northern,NORTH,NONE,2008,3882.298
Goosefish,164499,Northern,NORTH,NONE,2009,3322.285
Goosefish,164499,Northern,NORTH,NONE,2010,2922.558
Goosefish,164499,Northern,NORTH,NONE,2011,3328.122
Goosefish,164499,Northern,NORTH,NONE,2012,4081.364
Goosefish,164499,Northern,NORTH,NONE,2013,3354.916
Goosefish,164499,Northern,NORTH,NONE,2014,3434.283
Goosefish,164499,Northern,NORTH,NONE,2015,4086.233
Goosefish,164499,Northern,NORTH,NONE,2016,4723.076
Goosefish,164499,Northern,NORTH,NONE,2017,7105.119
Goosefish,164499,Northern,NORTH,NONE,2018,6009.021
Goosefish,164499,Northern,NORTH,NONE,2019,6083.837
Goosefish,164499,Northern,NORTH,NONE,2020,5574.765
Goosefish,164499,Northern,NORTH,NONE,2021,5043.009
Goosefish,164499,Northern,NORTH,NONE,2022,4978.261
Goosefish,164499,Northern,NORTH,NONE,2023,5694.767
Goosefish,164499,Northern,NORTH,NONE,2024,5017.079
Goosefish,164499,Northern,NORTH,NONE,2025,5515.779
Goosefish,164499,Northern,NORTH,NONE,2026,2922.378
