COMMON_NAME,SPECIES_ITIS,STOCK_NAME,STOCK_ABBREV,SEX_TYPE,YEAR,LANDINGS_MT
Goosefish,164499,Southern,SOUTH,NONE,1964,18.991
Goosefish,164499,Southern,SOUTH,NONE,1965,16.818
Goosefish,164499,Southern,SOUTH,NONE,1966,12.713
Goosefish,164499,Southern,SOUTH,NONE,1967,7.791
Goosefish,164499,Southern,SOUTH,NONE,1968,2.07
Goosefish,164499,Southern,SOUTH,NONE,1969,4.022
Goosefish,164499,Southern,SOUTH,NONE,1970,12.159
Goosefish,164499,Southern,SOUTH,NONE,1971,10.107
Goosefish,164499,Southern,SOUTH,NONE,1972,24.426
Goosefish,164499,Southern,SOUTH,NONE,1973,138.564
Goosefish,164499,Southern,SOUTH,NONE,1974,100.418
Goosefish,164499,Southern,SOUTH,NONE,1975,281.512
Goosefish,164499,Southern,SOUTH,NONE,1976,427.65
Goosefish,164499,Southern,SOUTH,NONE,1977,828.824
Goosefish,164499,Southern,SOUTH,NONE,1978,1338.39
Goosefish,164499,Southern,SOUTH,NONE,1979,2524.325
Goosefish,164499,Southern,SOUTH,NONE,1980,2883.805
Goosefish,164499,Southern,SOUTH,NONE,1981,2274.051
Goosefish,164499,Southern,SOUTH,NONE,1982,3658.119
Goosefish,164499,Southern,SOUTH,NONE,1983,4085.428
Goosefish,164499,Southern,SOUTH,NONE,1984,3609.863
Goosefish,164499,Southern,SOUTH,NONE,1985,4106.525
Goosefish,164499,Southern,SOUTH,NONE,1986,3953.507
Goosefish,164499,Southern,SOUTH,NONE,1987,3706.443
Goosefish,164499,Southern,SOUTH,NONE,1988,4483.365
Goosefish,164499,Southern,SOUTH,NONE,1989,8296.366
Goosefish,164499,Southern,SOUTH,NONE,1990,7142.375
Goosefish,164499,Southern,SOUTH,NONE,1991,9800.252
Goosefish,164499,Southern,SOUTH,NONE,1992,13924.514
Goosefish,164499,Southern,SOUTH,NONE,1993,15061.05
Goosefish,164499,Southern,SOUTH,NONE,1994,12044.095
Goosefish,164499,Southern,SOUTH,NONE,1995,14311.181
Goosefish,164499,Southern,SOUTH,NONE,1996,15727.837
Goosefish,164499,Southern,SOUTH,NONE,1997,18507.587
Goosefish,164499,Southern,SOUTH,NONE,1998,19127.914
Goosefish,164499,Southern,SOUTH,NONE,1999,16299.981
Goosefish,164499,Southern,SOUTH,NONE,2000,10193.363
Goosefish,164499,Southern,SOUTH,NONE,2001,10074.792
Goosefish,164499,Southern,SOUTH,NONE,2002,9258.766
Goosefish,164499,Southern,SOUTH,NONE,2003,11678.39
Goosefish,164499,Southern,SOUTH,NONE,2004,8375.282
Goosefish,164499,Southern,SOUTH,NONE,2005,8909.849
Goosefish,164499,Southern,SOUTH,NONE,2006,7581.663
Goosefish,164499,Southern,SOUTH,NONE,2007,7059.985
Goosefish,164499,Southern,SOUTH,NONE,2008,7132.052
Goosefish,164499,Southern,SOUTH,NONE,2009,5259.707
Goosefish,164499,Southern,SOUTH,NONE,2010,4330.756
Goosefish,164499,Southern,SOUTH,NONE,2011,5270.712
Goosefish,164499,Southern,SOUTH,NONE,2012,5673.617
Goosefish,164499,Southern,SOUTH,NONE,2013,5226.58
Goosefish,164499,Southern,SOUTH,NONE,2014,5098.935
Goosefish,164499,Southern,SOUTH,NONE,2015,4549.817
Goosefish,164499,Southern,SOUTH,NONE,2016,4331.05
Goosefish,164499,Southern,SOUTH,NONE,2017,3795.567
Goosefish,164499,Southern,SOUTH,NONE,2018,4388.352
Goosefish,164499,Southern,SOUTH,NONE,2019,4373.439
Goosefish,164499,Southern,SOUTH,NONE,2020,2576.529
Goosefish,164499,Southern,SOUTH,NONE,2021,1953.931
Goosefish,164499,Southern,SOUTH,NONE,2022,1736.979
Goosefish,164499,Southern,SOUTH,NONE,2023,1351.955
Goosefish,164499,Southern,SOUTH,NONE,2024,940.326
Goosefish,164499,Southern,SOUTH,NONE,2025,580.447
Goosefish,164499,Southern,SOUTH,NONE,2026,610.372
