STRATUM,STRATUM_AREA,STRATUM_NAME
1010,2516,SNE HUDSON CANYN
1020,2078,SNE HUDSON CANYN
1030,566,SNE HUDSON CANYN
1040,188,SNE HUDSON CANYN
1050,1475,SNE BLOCK ISLAND
1060,2554,SNE BLOCK ISLAND
1070,514,SNE BLOCK ISLAND
1080,230,SNE BLOCK ISLAND
1090,1522,SNE NANTUCKET
1100,2722,SNE NANTUCKET
1110,622,SNE NANTUCKET
1120,176,SNE NANTUCKET
1130,2374,GEO SW PART
1140,656,GEO SW PART
1150,230,GEO SW PART
1160,2980,GEO EASTERN PART
1170,360,GEO EASTERN PART
1180,172,GEO EASTERN PART
1190,2454,GEO LITTLE GEORG
1200,1221,GEO CULTIVATOR
1210,424,GEO NORTHRN EDGE
1220,454,GEO NORTHRN EDGE
1230,1016,GEO GT S CHANNEL
1240,2569,GME E OF CAPECOD
1250,390,SNE OFF CHATHAM
1260,1014,GME OFF BOSTON
1270,720,GME OFF CAPE ANN
1280,2249,GME WILKINSON
1290,3245,GME N OF GEORGES
1300,619,GME N OF GEORGES
1310,1875,SCO OFF BROWNS B
1320,655,SCO BROWNS BANK
1330,861,GME W NOV SCOTIA
1340,1766,GME W NOV SCOTIA
1350,1097,GME BAY OF FUNDY
1360,4069,GME CENTRAL
1370,2108,GME W CENTRAL
1380,2560,GME NW CENTRAL
1390,730,GME MAINE COAST
1400,578,GME MAINE COAST
1410,3885,SCO OFF SCO BANK
1420,582,SCO SCOTIAN BANK
1490,198,SCO SCOTIANSLOPE
1610,1318,MAB OFF HATTERAS
1620,243,MAB OFF HATTERAS
1630,86,MAB OFF HATTERAS
1640,60,MAB OFF HATTERAS
1650,2832,MAB CHESAPEAKE B
1660,555,MAB CHESAPEAKE B
1670,86,MAB CHESAPEAKE B
1680,52,MAB CHESAPEAKE B
1690,2433,MAB DELAWARE BAY
1700,1024,MAB DELAWARE BAY
1710,281,MAB DELAWARE BAY
1720,105,MAB DELAWARE BAY
1730,2145,MAB NEW JERSEY
1740,1273,MAB NEW JERSEY
1750,139,MAB NEW JERSEY
1760,60,MAB NEW JERSEY
3010,44,SNE BLOCK ISLAND
3020,62,SNE BLOCK ISLAND
3030,13,SNE LONG ISLAND
3040,26,SNE LONG ISLAND
3050,62,SNE LONG ISLAND
3060,26,SNE LONG ISLAND
3070,35,SNE LONG ISLAND
3080,150,SNE LONG ISLAND
3090,40,SNE LONG ISLAND
3100,48,SNE LONG ISLAND
3110,242,SNE LONG ISLAND
3120,44,SNE HUDSON CANYN
3130,88,SNE HUDSON CANYN
3140,110,SNE HUDSON CANYN
3150,22,MAB NEW JERSEY
3160,62,MAB NEW JERSEY
3170,238,MAB NEW JERSEY
3180,97,MAB NEW JERSEY
3190,216,MAB NEW JERSEY
3200,356,MAB NEW JERSEY
3210,22,MAB NEW JERSEY
3220,154,MAB NEW JERSEY
3230,167,MAB NEW JERSEY
3240,53,MAB DELAWARE
3250,172,MAB DELAWARE
3260,154,MAB DELAWARE
3270,35,MAB MARYLAND
3280,220,MAB MARYLAND
3290,185,MAB MARYLAND
3300,75,MAB VIRGINIA
3310,299,MAB VIRGINIA
3320,106,MAB VIRGINIA
3330,92,MAB VIRGINIA
3340,167,MAB VIRGINIA
3350,88,MAB VIRGINIA
3360,119,MAB VIRGINIA
3370,312,MAB VIRGINIA
3380,224,MAB VIRGINIA
3390,35,MAB N CAROLINA
3400,176,MAB N CAROLINA
3410,383,MAB N CAROLINIA
3420,40,MAB N CAROLINIA
3430,172,MAB N CAROLINIA
3440,304,MAB N CAROLINIA
3450,170,SNE RHODE ISLAND
3460,273,SNE MARTHAS VNYD
3470,45,SNE RHODE ISLAND
3480,113,SNE NANTUCKET SD
3490,299,SNE BLOCK IS SD
3500,15,SNE BUZZARDS BAY
3510,117,SNE BUZZARDS BAY
3520,521,SNE NANTUCKET SH
3530,142,SNE NANTUCKET SD
3540,277,SNE NANTUCKET SD
3550,495,SNE NANTUCKET SH
3560,57,GME C COD NAUSET
3570,34,GME CAPE COD BAY
3580,88,GME CAPE COD BAY
3590,93,GME CAPE COD BAY
3600,126,GME CAPE COD BAY
3610,133,GME CAPE COD BAY
3620,62,GME CAPE ANN
3630,78,GME CAPE ANN
3640,90,GME CAPE ANN
3650,75,GME CAPE ANN
3660,151,GME CAPE ANN
3670,5,GME N HAMPSHIRE
3680,40,GME N HAMPSHIRE
3690,57,GME N HAMPSHIRE
3700,10,GME MAINE
3710,72,GME MAINE
3720,129,GME MAINE
3730,31,GME MAINE
3740,68,GME MAINE
3750,76,GME MAINE
3760,20,GME MAINE
3770,34,GME MAINE
3780,44,GME MAINE
3790,34,GME MAINE
3800,58,GME MAINE
3810,38,GME MAINE
3820,209,GME MAINE
3830,80,GME MAINE
3840,137,GME MAINE
3850,106,GME MAINE
3860,60,GME MAINE
3870,153,GME MAINE
3880,34,GME MAINE
3890,59,GME MAINE
3900,125,GME MAINE
3910,941,MAB LONG IS SD
5310,1875,SCO OFF BROWNS B
5320,655,SCO BROWNS BANK
5410,1478,SCO ROSEWAYBASIN
5420,161,SCO ROSEWAY BANK
5430,920,SCO SW OFHALIFAX
5440,1004,SCO LAHAVE BASIN
5450,156,SCO BACCARO BANK
5460,265,SCO LAHAVE BANK
5470,1232,SCO S OF BACCARO
5480,1249,SCO SE OF LAHAVE
5490,233,SCO SCOTIANSLOPE
6010,1163,MAB OFF HATTERAS
6020,175,MAB OFF HATTERAS
6030,126,MAB OFF HATTERAS
6040,117,MAB OFF HATTERAS
